AveragePrice,Total Volume,type,region,month
1.19,277325.29,0,13,1
1.1,291788.43,0,13,1
1.08,332165.05,0,13,1
1.01,369694.27,0,13,1
1.13,147713.85,0,14,12
1.13,126262.26,0,14,12
1.24,117645.69,0,14,12
0.93,217174.66,0,14,12
1.12,120552.43,0,14,11
1.11,140981.22,0,14,11
1.2,129448.75,0,14,11
0.93,198257.69,0,14,11
0.91,205592.1,0,14,11
1.14,134921.44,0,14,10
0.94,184806.99,0,14,10
0.97,198769.54,0,14,10
0.99,160322.48,0,14,10
1.15,137849.61,0,14,9
0.88,244696.01,0,14,9
0.95,219380.93,0,14,9
1.09,170309.3,0,14,9
0.91,226898.73,0,14,8
1.28,128681.94,0,14,8
0.89,268902.14,0,14,8
1.08,186733.16,0,14,8
1.05,184067.49,0,14,8
1.12,153868.79,0,14,7
1.05,215736.47,0,14,7
1.19,153112.84,0,14,7
1.16,202842.97,0,14,7
1.1,155972.38,0,14,6
0.96,265555.66,0,14,6
1.07,197387.76,0,14,6
1.14,212599.11,0,14,6
1.31,167907.51,0,14,5
1.3,158917.21,0,14,5
0.97,277502.12,0,14,5
1.36,159642.82,0,14,5
1.06,238550.81,0,14,5
1.09,189609.49,0,14,4
0.93,310672.4,0,14,4
1.13,147494.24,0,14,4
1.22,157721.54,0,14,4
1.11,149631.24,0,14,3
0.91,311876.75,0,14,3
1.35,123895.07,0,14,3
1.08,146835.6,0,14,3
0.95,263987.21,0,14,3
1.31,129295.86,0,14,2
1.21,136761.35,0,14,2
1.24,132621.01,0,14,2
0.94,309471.69,0,14,2
1.19,144301.73,0,14,1
1.07,150201.39,0,14,1
1.03,185135.41,0,14,1
0.95,258979.63,0,14,1
1.01,2580602.96,0,15,12
1.01,2504745.45,0,15,12
1.03,2608448.06,0,15,12
1.0,2981347.2,0,15,12
1.07,2198408.92,0,15,11
1.03,2601821.63,0,15,11
1.09,2494044.41,0,15,11
0.98,3184946.53,0,15,11
1.0,3229124.75,0,15,11
1.1,2671535.94,0,15,10
1.03,2981549.94,0,15,10
1.02,3004133.39,0,15,10
1.05,2814678.93,0,15,10
1.1,2770074.76,0,15,9
1.02,3336245.24,0,15,9
1.03,3532480.92,0,15,9
1.07,3272555.01,0,15,9
1.04,3388803.79,0,15,8
1.14,2849127.29,0,15,8
1.03,3653376.07,0,15,8
1.12,3230139.65,0,15,8
1.14,3162447.64,0,15,8
1.1,3135698.38,0,15,7
1.12,3436864.41,0,15,7
1.14,3077237.12,0,15,7
1.13,3774004.27,0,15,7
1.07,3336314.35,0,15,6
1.08,3720458.83,0,15,6
1.12,3511185.14,0,15,6
1.13,3602112.79,0,15,6
1.2,3151714.0,0,15,5
1.15,3574050.61,0,15,5
1.09,3753201.03,0,15,5
1.15,3501344.46,0,15,5
1.05,3901054.42,0,15,5
1.14,3234024.32,0,15,4
1.06,3857605.11,0,15,4
1.11,2895992.9,0,15,4
1.18,2938918.81,0,15,4
1.09,2971443.88,0,15,3
1.04,3746598.18,0,15,3
1.1,2948199.23,0,15,3
1.04,3134752.64,0,15,3
1.02,3566752.43,0,15,3
1.16,2730224.03,0,15,2
1.15,2610004.41,0,15,2
1.07,2856456.35,0,15,2
0.91,4874124.41,0,15,2
1.13,2928692.32,0,15,1
1.08,3006207.02,0,15,1
1.1,3067638.32,0,15,1
1.02,3382800.12,0,15,1
1.16,173645.55,0,16,12
1.11,180186.23,0,16,12
1.14,187058.65,0,16,12
1.1,171195.76,0,16,12
1.17,146103.34,0,16,11
1.16,162429.43,0,16,11
1.09,189916.88,0,16,11
1.09,214993.36,0,16,11
1.13,219970.37,0,16,11
1.11,183276.68,0,16,10
0.93,264223.22,0,16,10
1.05,225079.92,0,16,10
1.16,188436.91,0,16,10
1.15,192478.26,0,16,9
1.17,188314.24,0,16,9
1.07,254744.58,0,16,9
1.19,225494.59,0,16,9
1.18,219908.82,0,16,8
1.1,222637.15,0,16,8
1.09,247813.45,0,16,8
1.07,247575.06,0,16,8
1.1,242281.36,0,16,8
1.17,225227.57,0,16,7
1.19,229650.57,0,16,7
1.17,233638.96,0,16,7
1.19,275844.88,0,16,7
1.2,243537.29,0,16,6
1.19,255431.85,0,16,6
1.13,277578.88,0,16,6
1.21,265638.42,0,16,6
1.22,260058.34,0,16,5
1.21,270097.92,0,16,5
1.19,252843.56,0,16,5
1.19,299147.73,0,16,5
1.17,255913.63,0,16,5
1.21,234322.13,0,16,4
1.17,237429.16,0,16,4
1.18,201544.53,0,16,4
1.21,216376.66,0,16,4
1.14,197282.25,0,16,3
1.08,219149.75,0,16,3
1.2,190760.3,0,16,3
1.15,192277.92,0,16,3
1.07,230913.14,0,16,3
1.2,191040.19,0,16,2
1.22,187671.77,0,16,2
1.02,239756.62,0,16,2
1.06,283137.88,0,16,2
1.17,206074.14,0,16,1
1.24,182604.68,0,16,1
1.26,178735.25,0,16,1
1.05,203939.14,0,16,1
1.27,243556.57,0,17,12
1.18,264155.74,0,17,12
1.24,238558.16,0,17,12
1.19,239945.42,0,17,12
1.32,213631.54,0,17,11
1.27,212091.14,0,17,11
1.12,275217.97,0,17,11
1.16,309186.06,0,17,11
1.16,326067.03,0,17,11
1.2,234361.36,0,17,10
0.93,407866.27,0,17,10
1.38,264227.78,0,17,10
1.3,262638.61,0,17,10
1.29,247141.63,0,17,9
1.25,241532.74,0,17,9
1.11,341176.21,0,17,9
1.27,281256.19,0,17,9
1.26,292827.27,0,17,8
1.14,298493.22,0,17,8
1.12,351074.46,0,17,8
1.12,354490.75,0,17,8
1.16,323449.77,0,17,8
1.3,266049.58,0,17,7
1.32,258239.1,0,17,7
1.06,389782.2,0,17,7
1.25,339064.22,0,17,7
1.27,304624.07,0,17,6
1.25,341628.84,0,17,6
1.15,338036.94,0,17,6
1.29,353474.52,0,17,6
1.33,319502.82,0,17,5
